y1,h1,y2,h2,snr_db,b1,b2
-9.359713106872358246e-01,-9.059202829357859699e-01,8.812558791770311872e-01,6.622461134847519582e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-9.844691224309891631e-01,8.187704615202691105e-01,2.102425492575116586e-02,-6.347707717435048524e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.023929593644615998e+00,1.279194960725563268e+00,1.001877592436298814e+00,6.801112287592925298e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.931561800246544280e-01,1.336995653424684904e-01,9.051316719279468570e-01,-7.299882766007381729e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.123768275790181459e-01,-2.679352704837357768e-01,-7.887259914795744509e-01,1.007926512935822583e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.815577325110737550e-01,2.124698217065873473e-01,5.212495056525185966e-01,-2.110792029772520229e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.054288124844602770e-01,4.022353311741223569e-01,7.429215768972983192e-01,4.177941150330604647e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-1.370177604070917488e+00,8.154982892369012637e-01,-1.129147697356824853e-02,5.985805676795411534e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.117173821860582894e+00,-8.422117612107308249e-01,1.676572519367640179e+00,5.025604509274022025e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.011808867362655739e-02,1.467744134601560724e+00,-4.603874531762525146e-01,-7.971051522117575949e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-9.537105181871945447e-01,5.354661800478349026e-02,5.566386701827268357e-01,-5.684815945906771528e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
